stall-link,stall-image1,stall-image2,stall-image3,stall-image4,stall-name,stall-organization,tab,time,stall-comment
stage-individual.html#0,assets/img/stage/koto.jpg,null,null,null,大正琴はまなす,練谷自治体,1,10時05分 ～ 10時20分,コロナも地震もそして年齢にも負けずに頑張っている大正琴グループです。80歳の「サンド」お聞きください！
stage-individual.html#1,assets/img/stage/stall-exhibition.png,null,null,null,模擬店・展示PR,北斗祭実行委員会,1,10時20分 ～ 10時40分,各教室でのクラス展示、各部活動の模擬店を一気にPR！
stage-individual.html#2,assets/img/stage/Costume-award.png,null,null,null,仮装コスプレコンテスト,北斗祭実行委員会,1,10時50分 ～ 11時10分,北斗祭を楽しむための必須情報、ここにあり！
stage-individual.html#3,assets/img/stage/voice.png,null,null,null,Nice Voiceコンテスト,北斗祭実行委員会,1,11時10分 ～ 11時30分,Voice コンテストとは、自分の得意なモノマネで名台詞を言ってもらったり、萌え声、セクシーボイスなど様々なセリフを言ってもらい、誰が1番nice voice だったかを競うコンテストです。顔や名前は非公開で行うので気軽に参加してみてください。
stage-individual.html#4,assets/img/stage/muscle.png,null,null,null,筋肉マンコンテスト,北斗祭実行委員会,1,11時30分 ～ 11時50分,筋肉による筋肉の為の筋肉の祭典。2年に1度、北斗祭でしか行われない筋肉マンコンテストが今年も開催！鍛え抜かれた筋肉が産み出す肉体美が会場を興奮と熱気で包み込む！選手たちの努力と情熱に感動すること間違いなし！選手たちの逞しい筋肉をお見逃しなく！
stage-individual.html#5,assets/img/stage/Freestyle-dance.jpg,null,null,null,フリースタイルダンス部,フリースタイルダンス部,1,12時00分 ～ 12時40分,こんにちは！フリースタイルダンス部です！今回は1〜5年生の計39名でパフォーマンスさせて頂きます！大人気のKーPOPやドラマ主題歌、誰もが知る洋楽など！かっこいいもかわいいも詰まった様々なジャンルのダンスで皆さんを魅了します！最高に盛り上がる40分間、目を離すことなくお楽しみください！！
stage-individual.html#6,assets/img/stage/jp-dac.png,null,null,null,日本舞踊同好会,日本舞踊同好会,1,12時50分 ～ 13時10分,こんにちは！日本舞踊同好会です。私たちは毎週2～4年生約10名で活動しています。今回のステージでは一緒にスキップしたくなるような楽しい踊りから思わず見入ってしまう美しい踊りまで幅広い種類のパフォーマンスを披露します。ぜひ私たちのステージを楽しんで見ていってください！
stage-individual.html#7,assets/img/stage/karaoke.png,null,null,null,カラオケ大会,北斗祭実行委員会,1,13時20分 ～ 14時10分,事前に募集した高専の歌自慢がステージ上で思い思いにパフォーマンスします。この日のためにたくさん練習してきた歌を聞きませんか？僅かな時間ではありますが学生の歌でいっぱいになる会場で過ごしませんか？たくさんのお越しをお待ちしております！
stage-individual.html#8,assets/img/stage/wind-music-1.jpg,assets/img/stage/wind-music-2.jpg,assets/img/stage/wind-music-3.jpg,null,吹奏楽部,吹奏楽部,2,10時00分 ～ 10時20分,今日のステージは現在のメンバーで出演する初めての舞台です。
stage-individual.html#9,assets/img/stage/conte.png,null,null,null,一芸発表会,北斗祭実行委員会,2,10時30分 ～ 11時40分,皆さんぜひ楽しんで
stage-individual.html#10,assets/img/stage/Light-music.jpeg,null,null,null,軽音楽同好会,軽音楽同好会,2,12時10分 ～ 14時10分,いってください！
